1:l;2:TT;3:EE;4:TE;5:BB;6:phiphi;7:TPhi;8:Ephi
1767    ;5160689071838    ;0.9085999051999;-2366435729287    ;0.000000000000e+00;0.0006005110909883;-0.0000002164163765375;0.000006100740746571
1768    ;5152305882959    ;0.9031347198571;-2321515958518    ;0.000000000000e+00;0.000599064074059;0.0000001966749853145;0.000005817748632477
1769    ;5143623097324    ;0.8979590640192;-2276689295342    ;0.000000000000e+00;0.0005976211628777;0.0000006416982683087;0.000005534384886851
1770    ;5134644455532    ;0.8930707370112;-2231968845238    ;0.000000000000e+00;0.0005961823474559;0.00000111762158626;0.000005250724905126
1771    ;5125373718321    ;0.8884675247767;-2187367771037    ;0.000000000000e+00;0.0005947476176801;0.000001623408029123;0.000004966844422793
1772    ;5115814666603    ;0.8841471998576;-2142899293008    ;0.000000000000e+00;0.0005933169633118;0.00000215801565573;0.000004682819515885
1773    ;5105971101493    ;0.8801075213732;-2098576688934    ;0.000000000000e+00;0.0005918903739872;0.000002720397486532;0.00000439872660145
1774    ;5095846844336    ;0.876346235;-2054413294193    ;0.000000000000e+00;0.0005904678392171;0.000003309501496342;0.000004114642438036
1775    ;5085445736743    ;0.8728610729511;-2010422501837    ;0.000000000000e+00;0.0005890493483866;0.000003924270607071;0.000003830644126163
1776    ;5074771640613    ;0.8696497539554;-1966617762675    ;0.000000000000e+00;0.0005876348907548;0.000004563642680472;0.000003546809108805
1777    ;5063828438169    ;0.8667099832376;-1923012585348    ;0.000000000000e+00;0.0005862244554547;0.000005226550510879;0.000003263215171869
1778    ;5052620031986    ;0.8640394524971;-1879620536413    ;0.000000000000e+00;0.0005848180314929;0.000005911921817947;0.00000297994044467
1779    ;5041150345021    ;0.8616358398877;-1836455240422    ;0.000000000000e+00;0.0005834156077495;0.000006618679239393;0.000002697063400415
1780    ;5029423320641    ;0.8594968099973;-1793530379998    ;0.000000000000e+00;0.0005820171729777;0.000007345740323738;0.000002414662856676
1781    ;5017442922655    ;0.857620013827;-1750859695923    ;0.000000000000e+00;0.0005806227158036;0.000008092017523044;0.000002132817975872
1782    ;5005213135345    ;0.8560030887707;-1708456987209    ;0.000000000000e+00;0.0005792322247263;0.000008856418185658;0.000001851608265748
1783    ;4992737963493    ;0.8546436585946;-1666336111184    ;0.000000000000e+00;0.0005778456881171;0.00000963784454895;0.000001571113579849
1784    ;4980021432413    ;0.8535393334169;-1624510983569    ;0.000000000000e+00;0.0005764630942198;0.00001043519373205;0.000001291414118004
1785    ;4967067587979    ;0.8526877096866;-1582995578559    ;0.000000000000e+00;0.0005750844311501;0.00001124735772861;0.000001012590426801
1786    ;4953880496657    ;0.8520863701638;-1541803928902    ;0.000000000000e+00;0.0005737096868959;0.00001207322339951;0.0000007347234000663
1787    ;4940464245534    ;0.8517328838984;-1500950125981    ;0.000000000000e+00;0.0005723388493163;0.00001291167246561;0.0000004578942793449
1788    ;4926822942347    ;0.8516248062101;-1460448319891    ;0.000000000000e+00;0.0005709719061422;0.00001376158150052;0.000000182184654376
1789    ;4912960715515    ;0.8517596786678;-142031271952    ;0.000000000000e+00;0.0005696088449752;0.0000146218219233;-9232353642638    
1790    ;4898881714166    ;0.8521350290689;-138055759263    ;0.000000000000e+00;0.0005682496532885;0.00001549125999121;-0.0000003655480054957
1791    ;488459010817    ;0.8527483714186;-1341197265937    ;0.000000000000e+00;0.0005668943184254;0.00001636875679249;-0.000000637406115634
1792    ;4870090088167    ;0.8535972059099;-1302246125186    ;0.000000000000e+00;0.0005655428276002;0.00001725316823902;-0.0000009078148795338
1793    ;4855385865596    ;0.8546790189027;-126371861524    ;0.000000000000e+00;0.0005641951678973;0.00001814334505916;-0.000001176690959299
1794    ;4840481672729    ;0.8559912829031;-122562924015    ;0.000000000000e+00;0.000562851326271;0.0000190381327904;-0.000001443950665967
1795    ;4825381762696    ;0.8575314565435;-1187992563244    ;0.000000000000e+00;0.0005615112895459;0.00001993637177216;-0.00000170950995903
1796    ;4810090409517    ;0.8592969845614;-1150823207198    ;0.000000000000e+00;0.0005601750444158;0.0000208368971385;-0.000001973284445956
1797    ;4794611908134    ;0.8612852977791;-1114135854123    ;0.000000000000e+00;0.000558842577444;0.00002173853881087;-0.00000223518938171
1798    ;4778950574435    ;0.8634938130834;-1077945245643    ;0.000000000000e+00;0.0005575138750633;0.00002264012149086;-0.000002495139668277
1799    ;4763110745292    ;0.8659199334047;-1042266182971    ;0.000000000000e+00;0.000556188923575;0.00002354046465293;-0.000002753049854183
1800    ;4747096778584    ;0.8685610476968;-1007113526995    ;0.000000000000e+00;0.0005548677091494;0.00002443838253714;-0.000003008834134015
1801    ;473091305323    ;0.8714145309161;-0.9725021983526;0.000000000000e+00;0.0005535502178254;0.00002533268414191;-0.000003262406347944
1802    ;4714563969219    ;0.8744777440012;-0.9384471775151;0.000000000000e+00;0.0005522364355099;0.00002622217321675;-0.000003513679981245
1803    ;4698053947638    ;0.8777480338522;-0.9049635048642;0.000000000000e+00;0.0005509263479781;0.00002710564825502;-0.000003762568163822
1804    ;4681387430706    ;0.8812227333107;-0.8720662807737;0.000000000000e+00;0.000549619940873;0.00002798190248663;-0.000004008983669724
1805    ;4664568881797    ;0.8848991611385;-0.8397706656885;0.000000000000e+00;0.0005483171997052;0.00002884972387081;-0.000004252838916672
1806    ;4647602785477    ;0.8887746219976;-0.808091880205;0.000000000000e+00;0.0005470181098528;0.00002970789508885;-0.000004494045965575
1807    ;4630493647531    ;0.8928464064295;-0.7770452051507;0.000000000000e+00;0.0005457226565609;0.00003055519353684;-0.000004732516520057
1808    ;4613245994992    ;0.8971117908347;-0.7466459816644;0.000000000000e+00;0.0005444308249416;0.00003139039131839;-0.000004968161925974
1809    ;459586437617    ;0.9015680374521;-0.7169096112756;0.000000000000e+00;0.000543142599974;0.00003221225523741;-0.00000520089317094
1810    ;4578353360687    ;0.9062123943385;-0.6878515559849;0.000000000000e+00;0.0005418579665035;0.00003301954679079;-0.000005430620883842
1811    ;4560717539501    ;0.9110420953483;-0.6594873383433;0.000000000000e+00;0.0005405769092416;0.00003381102216121;-0.000005657255334369
1812    ;4542961524939    ;0.9160543601125;-0.6318325415329;0.000000000000e+00;0.0005392994127663;0.00003458543220983;-0.000005880706432526
1813    ;4525089950727    ;0.9212463940186;-0.6049028094459;0.000000000000e+00;0.0005380254615211;0.00003534152246905;-0.000006100883728163
1814    ;4507107472018    ;0.9266153881897;-0.5787138467651;0.000000000000e+00;0.0005367550398153;0.00003607803313527;-0.00000631769641049
1815    ;4489018784712    ;0.9321582783898;-0.5532786115897;0.000000000000e+00;0.0005354881331311;0.00003679402742823;-0.000006531074584666
1816    ;4470828683513    ;0.9378710196545;-0.5285988684042;0.000000000000e+00;0.0005342247320572;0.0000374898795785;-0.000006741033290076
1817    ;4452542004401    ;0.9437493057712;-0.5046735671638;0.000000000000e+00;0.0005329648283864;0.00003816629479128;-0.000006947608997252
1818    ;4434163605413    ;0.9497888097927;-0.481501644544;0.000000000000e+00;0.000531708413811;0.00003882398160753;-0.000007150838377958
1819    ;4415698366675    ;0.9559851840087;-0.4590820239177;0.000000000000e+00;0.0005304554799225;0.00003946365190866;-0.000007350758305488
1820    ;4397151190435    ;0.962334059916;-0.4374136153336;0.000000000000e+00;0.0005292060182113;0.00004008602092123;-0.000007547405854957
1821    ;4378527001089    ;0.9688310481894;-0.4164953154936;0.000000000000e+00;0.0005279600200669;0.00004069180722163;-0.000007740818303605
1822    ;4359830745217    ;0.9754717386521;-0.3963260077303;0.000000000000e+00;0.0005267174767772;0.00004128173274078;-0.000007931033131086
1823    ;4341067391609    ;0.9822517002469;-0.3769045619847;0.000000000000e+00;0.0005254783795288;0.00004185652276884;-0.000008118088019766
1824    ;4322241931297    ;0.9891664810063;-0.3582298347843;0.000000000000e+00;0.0005242427194065;0.00004241690595991;-0.000008302020855024
1825    ;430335937759    ;0.9962116080238;-0.3403006692203;0.000000000000e+00;0.0005230104873935;0.00004296361433669;-0.00000848286972554
1826    ;4284424766094    ;1003382587424    ;-0.3231158949252;0.000000000000e+00;0.0005217816743707;0.00004349738329521;-0.000008660672923599
1827    ;4265443154756    ;1010674904334    ;-0.3066743280512;0.000000000000e+00;0.0005205562711169;0.00004401895160951;-0.000008835468945378
1828    ;4246419623884    ;1018084022852    ;-0.2909747712469;0.000000000000e+00;0.0005193342683086;0.00004452906143632;-0.000009007296491254
1829    ;4227359276182    ;1025605386023    ;-0.2760160136358;0.000000000000e+00;0.0005181156565198;0.00004502845831982;-0.000009176194466089
1830    ;420826723678    ;1033234415803    ;-0.2617968307934;0.000000000000e+00;0.0005169004262215;0.00004551789119623;-0.000009342201979532
1831    ;4189148653265    ;1040966513034    ;-0.2483159847253;0.000000000000e+00;0.0005156885677822;0.00004599811239862;-0.000009505358346314
1832    ;4170008695712    ;1048797057414    ;-0.2355722238446;0.000000000000e+00;0.0005144800714671;0.0000464698776615;-0.000009665703086545
1833    ;4150852556713    ;1056721407466    ;-0.2235642829495;0.000000000000e+00;0.0005132749274382;0.00004693394612561;-0.000009823275926006
1834    ;4131685451409    ;1064734900512    ;-0.2122908832015;0.000000000000e+00;0.000512073125754;0.00004739108034253;-0.000009978116796451
