l,TT,3:EE,4:TE,
890,280,2.44,6.59,
891,279,2.47,6.72,
892,277,2.51,6.85,
893,276,2.55,6.98,
894,274,2.58,7.11,
895,273,2.62,7.23,
896,271,2.66,7.34,
897,269,2.7,7.45,
898,268,2.73,7.56,
899,266,2.77,7.66,
900,265,2.81,7.76,
901,263,2.85,7.86,
902,261,2.89,7.95,
903,260,2.93,8.03,
904,258,2.97,8.11,
905,256,3.01,8.19,
906,255,3.05,8.26,
907,253,3.09,8.33,
908,251,3.13,8.39,
909,250,3.18,8.45,
910,248,3.22,8.51,
911,246,3.26,8.55,
912,245,3.3,8.6,
913,243,3.34,8.64,
914,242,3.39,8.67,
915,240,3.43,8.71,
916,238,3.47,8.73,
917,237,3.51,8.75,
918,235,3.56,8.77,
919,233,3.6,8.78,
920,232,3.64,8.79,
921,230,3.68,8.79,
922,228,3.73,8.79,
923,227,3.77,8.79,
924,225,3.81,8.78,
925,223,3.85,8.77,
926,222,3.9,8.75,
927,220,3.94,8.72,
928,218,3.98,8.7,
929,217,4.02,8.67,
930,215,4.07,8.63,
931,214,4.11,8.59,
932,212,4.15,8.55,
933,210,4.19,8.5,
934,209,4.23,8.45,
935,207,4.27,8.4,
936,206,4.31,8.34,
937,204,4.35,8.27,
938,203,4.39,8.2,
939,201,4.43,8.13,
940,199,4.47,8.06,
941,198,4.51,7.98,
942,196,4.55,7.9,
943,195,4.59,7.81,
944,193,4.63,7.72,
945,192,4.67,7.62,
946,191,4.7,7.53,
947,189,4.74,7.42,
948,188,4.78,7.32,
949,186,4.81,7.21,
950,185,4.85,7.1,
951,183,4.88,6.98,
952,182,4.92,6.86,
953,181,4.95,6.74,
954,179,4.99,6.61,
955,178,5.02,6.48,
956,177,5.05,6.35,
957,175,5.08,6.21,
958,174,5.11,6.08,
959,173,5.14,5.93,
960,172,5.17,5.79,
961,170,5.2,5.64,
962,169,5.23,5.49,
963,168,5.26,5.34,
964,167,5.29,5.18,
965,166,5.32,5.03,
966,165,5.34,4.87,
967,163,5.37,4.7,
968,162,5.39,4.54,
969,161,5.42,4.37,
970,160,5.44,4.2,
971,159,5.46,4.03,
972,158,5.49,3.86,
973,157,5.51,3.68,
974,156,5.53,3.51,
975,155,5.55,3.33,
976,154,5.57,3.15,
977,153,5.59,2.96,
978,152,5.6,2.78,
979,151,5.62,2.59,
980,151,5.64,2.41,
981,150,5.65,2.22,
982,149,5.67,2.03,
983,148,5.68,1.84,
984,147,5.7,1.65,
985,146,5.71,1.46,
986,146,5.72,1.26,
987,145,5.73,1.07,
988,144,5.74,0.876,
989,144,5.75,0.681,
990,143,5.76,0.485,
991,142,5.76,0.289,
992,142,5.77,0.093,
993,141,5.78,-0.104,
994,140,5.78,-0.3,
995,140,5.79,-0.497,
996,139,5.79,-0.694,
997,139,5.79,-0.892,
998,138,5.79,-1.09,
999,138,5.79,-1.29,
1000,137,5.79,-1.48,
1001,137,5.79,-1.68,
1002,137,5.79,-1.88,
1003,136,5.79,-2.07,
1004,136,5.78,-2.27,
1005,135,5.78,-2.46,
1006,135,5.77,-2.66,
1007,135,5.77,-2.85,
1008,134,5.76,-3.04,
1009,134,5.75,-3.24,
1010,134,5.74,-3.43,
